Delivery Associate ID,Delivery Associate Name,Delivery Associate Email,Delivery Associate Phone Number
ABCTEST1,Adam Sparrey,fakeEmail1@gmail.com,973-525-5672
ABCTEST2,Nick Lanese,fakeEmail2@gmail.com,877-393-4445
ABCTEST3,Daniel Stitt,fakeEmail3@gmail.com,877-393-4446
ABCTEST4,Beth Hammond,fakeEmail4@gmail.com,877-393-4447
ABCTEST5,Josh Shultz,fakeEmail5@gmail.com,877-393-4448
ABCTEST6,Anthony Masters,fakeEmail6@gmail.com,877-393-4449
ABCTEST7,Jason Derulo,fakeEmail7@gmail.com,877-393-4450
ABCTEST8,Mark Price,fakeEmail8@gmail.com,877-393-4451
ABCTEST9,Donovan Mitchell,fakeEmail9@gmail.com,1-877-3137-4-3326
ABCTEST10,James Johnson,fakeEmail10@gmail.com,1-877-3137-4-3327
ABCTEST11,Patrick Patterson,fakeEmail11@gmail.com,1-877-3137-4-3328
ABCTEST12,Donna Bluth,fakeEmail12@gmail.com,1-877-3137-4-3329
ABCTEST13,Daniel Gafford Jr,fakeEmail13@gmail.com,1-877-3137-4-3330
ABCTEST14,Jimmy Lloyd,fakeEmail14@gmail.com,1-877-3137-4-3331
ABCTEST15,Edrice Adebayo,fakeEmail15@gmail.com,1-877-3137-4-3332
ABCTEST16,Chris Anderson,fakeEmail16@gmail.com,1-877-3137-4-3333
ABCTEST17,Michael Bluth,fakeEmail17@gmail.com,1-877-3137-4-3334
ABCTEST18,Marty Byrde,fakeEmail18@gmail.com,1-877-3137-4-3335
ABCTEST19,Heidi Klum,fakeEmail19@gmail.com,1-877-3137-4-3336
ABCTEST20,Rick Sanchezz,fakeEmail20@gmail.com,1-877-3137-4-3337
